season,date,hour,price
summer,2024-08-12,16,48.65
summer,2024-08-12,17,89.29
summer,2024-08-12,18,122.78
summer,2024-08-12,19,206.02
summer,2024-08-12,20,224.84
summer,2024-08-12,21,128.34
summer,2024-08-12,22,106.88
summer,2024-08-12,23,100.05
winter,2024-01-01,0,29.13
winter,2024-01-01,1,28.46
winter,2024-01-01,2,26.66
winter,2024-01-01,3,24.48
winter,2024-01-01,4,24.01
winter,2024-01-01,5,15.88
winter,2024-01-01,6,15.87
winter,2024-01-01,7,22.04
winter,2024-01-01,8,25.42
winter,2024-01-01,9,32.21
winter,2024-01-01,10,41.34
winter,2024-01-01,11,43.51
winter,2024-01-01,12,43.02
winter,2024-01-01,13,44.29
winter,2024-01-01,14,46.24
winter,2024-01-01,15,50.61
winter,2024-01-01,16,59.47
winter,2024-01-01,17,64.99
winter,2024-01-01,18,61.74
winter,2024-01-01,19,55.07
winter,2024-01-01,20,48.01
winter,2024-01-01,21,44.01
winter,2024-01-01,22,45.2
winter,2024-01-01,23,38.0
winter,2024-01-23,0,15.84
winter,2024-01-23,1,10.1
winter,2024-01-23,2,9.37
winter,2024-01-23,3,4.17
winter,2024-01-23,4,10.22
winter,2024-01-23,5,21.63
winter,2024-01-23,6,25.73
winter,2024-01-23,7,60.93
winter,2024-01-23,8,61.9
winter,2024-01-23,9,61.11
winter,2024-01-23,10,59.97
winter,2024-01-23,11,59.44
winter,2024-01-23,12,41.58
winter,2024-01-23,13,26.76
winter,2024-01-23,14,42.91
winter,2024-01-23,15,62.76
winter,2024-01-23,16,66.29
winter,2024-01-23,17,68.46
winter,2024-01-23,18,66.78
winter,2024-01-23,19,63.34
winter,2024-01-23,20,60.46
winter,2024-01-23,21,52.45
winter,2024-01-23,22,40.82
winter,2024-01-23,23,33.26
winter,2024-02-10,0,61.14
winter,2024-02-10,1,62.03
winter,2024-02-10,2,62.34
winter,2024-02-10,3,62.33
winter,2024-02-10,4,62.35
winter,2024-02-10,5,63.35
winter,2024-02-10,6,62.64
winter,2024-02-10,7,63.26
winter,2024-02-10,8,64.74
winter,2024-02-10,9,65.72
winter,2024-02-10,10,67.47
winter,2024-02-10,11,67.27
winter,2024-02-10,12,66.18
winter,2024-02-10,13,65.12
winter,2024-02-10,14,66.91
winter,2024-02-10,15,68.01
winter,2024-02-10,16,68.92
